HD22951,11.6
HD23016,17.4
HD23180,12.5
HD23466,23
HD24398,13.1
HD27778,15.5
HD34748,7.4
HD36695,27.1
HD36822,23.4
HD36861,24.4
HD36982,16.3
HD37022,19.3
HD37041,19.7
HD37061,23.2
HD37128,24.4
HD37367,15.4
HD37903,26.3
HD39680,15.6;22.6
HD40111,14.4
HD41117,9.6;15.2
HD43384,8.6;16.8
HD45314,17.1
HD49787,35.2
HD53975,32.8
HD54239,17.5
HD54439,32.6
HD54662,34.9
HD55879,22.5
HD57061,32
HD61827,35.9;41.1
HD63804,31.1;37.5
HD66194,13
HD73882,20.3;22.7
HD75309,18.1
HD75860,19.9
HD79186,11.5
HD80558,18.7
HD81188,7.7
HD91824,-1.4
HD93030,-3.9
HD93205,6.2
HD93222,-8.2;4.5
HD93843,-30;-11
HD94493,9.6
HD99953,-13.0;7.6
HD103779,-19.4
HD104705,7.1
HD109399,9.7
HD110432,6.6
HD111934,-12.2;6.9
HD112272,-8.7;3.5
HD113904,-0.1
HD114886,36.3;41.5
HD116852,9.2
HD122879,1.3
HD124314,-20.2;-8.5;1.8
HD135591,1.4
HD143275,-12.2
HD144217,-9.4
HD144470,-10.8
HD145502,-10.3
HD147084,-7.4;29.8
HD147165,-6.5
HD147683,-2.0
HD147888,-8.8
HD147889,-7.7
HD147932,-8.8
HD147933,-8.9
HD148184,-11.7
HD148605,-8.6
HD148937,-15.7
HD149038,-2.4
HD149404,-19.0;-8.0;-0.4
HD149757,-15.1
HD150136,-13.3;-0.6
HD151804,-6.1;1.3
HD152248,1.5
HD152408,-4.9;2.0
HD152424,-11.8;-0.8
HD153919,-4.4
HD154043,-12.4
HD154368,-4
HD155806,-1.7
HD156201,-3
HD157246,0.4
HD161056,-18.5;-13.1
HD164073,-0.5
HD164353,-14.6
HD164906,-6.0
HD165319,-10.7;-2.6
HD166937,-6.5
HD167264,-7.0
HD167838,-17.2;-12.7;9.9
HD167971,-12.6;10.6
HD168076,-11.6
HD169454,-9.8
HD170740,-11.1
HD170938,-10.4
HD171957,-4.9
HD172694,-7.4
HD179406,-12.8
HD180554,-12.7
HD183143,-11.1;4.3
HD184915,-12.9
HD185418,-10.5
HD185859,-8.4
HD186745,-10.7
HD186841,-11.3
HD203532,14.0
HD210121,-15.1
HD303308,6.9
kappaOri,19.5
