Object,RA,DEC,DateObs,setting,WaveMin,WaveMax,Filename
HD101065,174.403569,-46.70925,2017-04-20T05:49:10.075,346,3281.9,3333.4,/HD101065/BLUE_346/HD101065_w346_blue_20170420_O12.fits
HD101065,174.403661,-46.70966,2017-04-24T04:19:40.323,346,3281.9,3333.4,/HD101065/BLUE_346/HD101065_w346_blue_20170424_O12.fits
HD103779,179.239957,-63.24932,2016-03-18T06:34:06.630,346,3281.9,3333.4,/HD103779/BLUE_346/HD103779_w346_blue_20160318_O12.fits
HD103779,179.239663,-63.24939,2017-04-27T01:26:14.551,346,3281.9,3333.4,/HD103779/BLUE_346/HD103779_w346_blue_20170427_O12.fits
HD103779,179.239921,-63.24918,2015-02-27T07:22:28.706,346,3281.9,3333.4,/HD103779/BLUE_346/HD103779_w346_blue_20150227_O12.fits
HD104705,180.850244,-62.69612,2016-03-20T08:47:41.381,346,3281.9,3333.4,/HD104705/BLUE_346/HD104705_w346_blue_20160320_O12.fits
HD104705,180.849892,-62.69652,2015-03-01T02:00:24.016,346,3281.9,3333.4,/HD104705/BLUE_346/HD104705_w346_blue_20150301_O12.fits
HD104705,180.84965,-62.69638,2016-03-29T07:02:49.603,346,3281.9,3333.4,/HD104705/BLUE_346/HD104705_w346_blue_20160329_O12.fits
HD109399,188.820215,-72.71708,2016-07-15T02:32:20.711,346,3281.9,3333.4,/HD109399/BLUE_346/HD109399_w346_blue_20160715_O12.fits
HD110432,190.709338,-63.05891,2018-06-19T00:00:21.877,346,3281.9,3333.4,/HD110432/BLUE_346/HD110432_w346_blue_20180619_O12.fits
HD110432,190.709338,-63.05891,2018-06-18T23:46:26.863,346,3281.9,3333.4,/HD110432/BLUE_346/HD110432_w346_blue_20180618_O12.fits
HD111934,193.40791,-60.35677,2017-04-27T03:53:52.360,346,3281.9,3333.4,/HD111934/BLUE_346/HD111934_w346_blue_20170427_O12.fits
HD111934,193.407841,-60.35675,2017-04-28T02:59:27.364,346,3281.9,3333.4,/HD111934/BLUE_346/HD111934_w346_blue_20170428_O12.fits
HD112272,194.140643,-64.36144,2017-05-01T00:54:53.335,346,3281.9,3333.4,/HD112272/BLUE_346/HD112272_w346_blue_20170501_O12.fits
HD112272,194.141771,-64.36083,2017-04-30T02:35:42.167,346,3281.9,3333.4,/HD112272/BLUE_346/HD112272_w346_blue_20170430_O12.fits
HD113904,197.030206,-65.30625,2014-12-14T08:06:55.702,346,3281.9,3333.4,/HD113904/BLUE_346/HD113904_w346_blue_20141214_O12.fits
HD113904,197.030183,-65.30608,2015-05-31T02:34:22.645,346,3281.9,3333.4,/HD113904/BLUE_346/HD113904_w346_blue_20150531_O12.fits
HD114886,114.95548,-32.57827,2017-05-03T00:25:09.079,346,3281.9,3333.4,/HD114886/BLUE_346/HD114886_w346_blue_20170503_O12.fits
HD116852,202.596407,-78.85631,2017-04-29T04:24:16.644,346,3281.9,3333.4,/HD116852/BLUE_346/HD116852_w346_blue_20170429_O12.fits
HD116852,202.602112,-78.85574,2016-03-29T09:19:58.954,346,3281.9,3333.4,/HD116852/BLUE_346/HD116852_w346_blue_20160329_O12.fits
HD116852,202.596691,-78.85625,2017-04-23T06:56:09.830,346,3281.9,3333.4,/HD116852/BLUE_346/HD116852_w346_blue_20170423_O12.fits
HD122879,211.605033,-59.71632,2016-03-18T07:30:45.118,346,3281.9,3333.4,/HD122879/BLUE_346/HD122879_w346_blue_20160318_O12.fits
HD124314,213.757434,-61.70736,2017-05-01T06:56:21.152,346,3281.9,3333.4,/HD124314/BLUE_346/HD124314_w346_blue_20170501_O12.fits
HD133518,226.733919,-52.03023,2015-06-30T01:48:40.474,346,3281.9,3333.4,/HD133518/BLUE_346/HD133518_w346_blue_20150630_O12.fits
HD135591,229.705393,-60.49642,2016-02-22T05:55:03.696,346,3281.9,3333.4,/HD135591/BLUE_346/HD135591_w346_blue_20160222_O12.fits
HD135591,229.705759,-60.49579,2015-06-28T05:03:30.645,346,3282,3333.4,/HD135591/BLUE_346/HD135591_w346_blue_20150628_O12.fits
HD143275,240.082946,-22.62206,2015-07-20T04:34:15.990,346,3281.9,3333.4,/HD143275/BLUE_346/HD143275_w346_blue_20150720_O12.fits
HD144217,241.359037,-19.80574,2018-08-09T01:17:10.487,346,3281.9,3333.4,/HD144217/BLUE_346/HD144217_w346_blue_20180809_O12.fits
HD144470,241.702294,-20.66901,2015-07-20T01:14:33.998,346,3281.9,3333.4,/HD144470/BLUE_346/HD144470_w346_blue_20150720_O12.fits
HD145502,242.99907,-19.46063,2014-09-15T00:34:12.030,346,3281.9,3333.4,/HD145502/BLUE_346/HD145502_w346_blue_20140915_O12.fits
HD145502,242.999099,-19.46063,2014-09-16T01:04:16.857,346,3281.9,3333.4,/HD145502/BLUE_346/HD145502_w346_blue_20140916_O12.fits
