Object,RA,DEC,DateObs,setting,WaveMin,WaveMax,Filename
HD101065,174.403569,-46.70925,2017-04-20T05:31:58.986,564,5817.6,5915.4,/HD101065/RED_564/HD101065_w564_redu_20170420_O4.fits
HD101065,174.403661,-46.70966,2017-04-24T04:29:40.914,564,5817.6,5915.4,/HD101065/RED_564/HD101065_w564_redu_20170424_O4.fits
HD101065,174.403661,-46.70966,2017-04-24T04:29:40.914,564,5874.1,5972.8,/HD101065/RED_564/HD101065_w564_redu_20170424_O5.fits
HD101065,174.403569,-46.70925,2017-04-20T05:31:58.986,564,5874.1,5972.8,/HD101065/RED_564/HD101065_w564_redu_20170420_O5.fits
HD103779,179.239663,-63.24939,2017-04-27T01:26:14.524,564,5817.6,5915.4,/HD103779/RED_564/HD103779_w564_redu_20170427_O4.fits
HD103779,179.239921,-63.24918,2015-02-27T07:36:32.889,564,5817.7,5915.5,/HD103779/RED_564/HD103779_w564_redu_20150227_O4.fits
HD103779,179.239957,-63.24932,2016-03-18T06:23:11.609,564,5817.6,5915.4,/HD103779/RED_564/HD103779_w564_redu_20160318_O4.fits
HD103779,179.239663,-63.24939,2017-04-27T01:26:14.524,564,5874.1,5972.8,/HD103779/RED_564/HD103779_w564_redu_20170427_O5.fits
HD103779,179.239921,-63.24918,2015-02-27T07:36:32.889,564,5874.3,5972.9,/HD103779/RED_564/HD103779_w564_redu_20150227_O5.fits
HD103779,179.239957,-63.24932,2016-03-18T06:23:11.609,564,5874.1,5972.8,/HD103779/RED_564/HD103779_w564_redu_20160318_O5.fits
HD104705,180.849892,-62.69652,2015-03-01T02:00:20.004,564,5817.7,5915.5,/HD104705/RED_564/HD104705_w564_redu_20150301_O4.fits
HD104705,180.850244,-62.69612,2016-03-20T08:41:54.059,564,5817.6,5915.4,/HD104705/RED_564/HD104705_w564_redu_20160320_O4.fits
HD104705,180.84965,-62.69638,2016-03-29T07:14:34.539,564,5817.6,5915.4,/HD104705/RED_564/HD104705_w564_redu_20160329_O4.fits
HD104705,180.850244,-62.69612,2016-03-20T08:41:54.059,564,5874.1,5972.8,/HD104705/RED_564/HD104705_w564_redu_20160320_O5.fits
HD104705,180.849892,-62.69652,2015-03-01T02:00:20.004,564,5874.3,5972.9,/HD104705/RED_564/HD104705_w564_redu_20150301_O5.fits
HD104705,180.84965,-62.69638,2016-03-29T07:14:34.539,564,5874.1,5972.8,/HD104705/RED_564/HD104705_w564_redu_20160329_O5.fits
HD109399,188.820215,-72.71708,2016-07-15T01:53:53.049,564,5817.6,5915.4,/HD109399/RED_564/HD109399_w564_redu_20160715_O4.fits
HD109399,188.820215,-72.71708,2016-07-15T01:53:53.049,564,5874.1,5972.8,/HD109399/RED_564/HD109399_w564_redu_20160715_O5.fits
HD110432,190.709338,-63.05891,2018-06-19T00:02:38.029,564,5817.6,5915.4,/HD110432/RED_564/HD110432_w564_redu_20180619_O4.fits
HD110432,190.709338,-63.05891,2018-06-18T23:59:47.502,564,5817.6,5915.4,/HD110432/RED_564/HD110432_w564_redu_20180618_O4.fits
HD110432,190.709338,-63.05891,2018-06-18T23:59:47.502,564,5874.1,5972.8,/HD110432/RED_564/HD110432_w564_redu_20180618_O5.fits
HD110432,190.709338,-63.05891,2018-06-19T00:02:38.029,564,5874.1,5972.8,/HD110432/RED_564/HD110432_w564_redu_20180619_O5.fits
HD111934,193.40791,-60.35677,2017-04-27T03:42:57.847,564,5817.6,5915.4,/HD111934/RED_564/HD111934_w564_redu_20170427_O4.fits
HD111934,193.407841,-60.35675,2017-04-28T03:11:01.858,564,5817.6,5915.4,/HD111934/RED_564/HD111934_w564_redu_20170428_O4.fits
HD111934,193.407841,-60.35675,2017-04-28T03:11:01.858,564,5874.1,5972.8,/HD111934/RED_564/HD111934_w564_redu_20170428_O5.fits
HD111934,193.40791,-60.35677,2017-04-27T03:42:57.847,564,5874.1,5972.8,/HD111934/RED_564/HD111934_w564_redu_20170427_O5.fits
HD112272,194.140643,-64.36144,2017-05-01T01:22:16.952,564,5817.6,5915.4,/HD112272/RED_564/HD112272_w564_redu_20170501_O4.fits
HD112272,194.141771,-64.36083,2017-04-30T02:19:51.660,564,5817.6,5915.4,/HD112272/RED_564/HD112272_w564_redu_20170430_O4.fits
HD112272,194.140643,-64.36144,2017-05-01T01:22:16.952,564,5874.1,5972.8,/HD112272/RED_564/HD112272_w564_redu_20170501_O5.fits
HD112272,194.141771,-64.36083,2017-04-30T02:19:51.660,564,5874.1,5972.8,/HD112272/RED_564/HD112272_w564_redu_20170430_O5.fits
HD113904,197.030206,-65.30625,2014-12-14T08:08:37.389,564,5817.7,5915.5,/HD113904/RED_564/HD113904_w564_redu_20141214_O4.fits
HD113904,197.030183,-65.30608,2015-05-31T02:07:43.154,564,5817.7,5915.5,/HD113904/RED_564/HD113904_w564_redu_20150531_O4.fits
HD113904,197.030183,-65.30608,2015-05-31T02:07:43.154,564,5874.2,5972.9,/HD113904/RED_564/HD113904_w564_redu_20150531_O5.fits
HD113904,197.030206,-65.30625,2014-12-14T08:08:37.389,564,5874.2,5972.9,/HD113904/RED_564/HD113904_w564_redu_20141214_O5.fits
HD114886,114.955515,-32.57827,2017-05-03T01:09:11.052,564,5817.6,5915.4,/HD114886/RED_564/HD114886_w564_redu_20170503_O4.fits
HD114886,114.955515,-32.57827,2017-05-03T01:09:11.052,564,5874.1,5972.8,/HD114886/RED_564/HD114886_w564_redu_20170503_O5.fits
HD116852,202.596691,-78.85625,2017-04-23T06:56:09.924,564,5817.6,5915.4,/HD116852/RED_564/HD116852_w564_redu_20170423_O4.fits
HD116852,202.596407,-78.85631,2017-04-29T04:11:24.751,564,5817.6,5915.4,/HD116852/RED_564/HD116852_w564_redu_20170429_O4.fits
HD116852,202.602112,-78.85574,2016-03-29T09:07:06.989,564,5817.6,5915.4,/HD116852/RED_564/HD116852_w564_redu_20160329_O4.fits
HD116852,202.596407,-78.85631,2017-04-29T04:11:24.751,564,5874.1,5972.8,/HD116852/RED_564/HD116852_w564_redu_20170429_O5.fits
HD116852,202.602112,-78.85574,2016-03-29T09:07:06.989,564,5874.1,5972.8,/HD116852/RED_564/HD116852_w564_redu_20160329_O5.fits
HD116852,202.596691,-78.85625,2017-04-23T06:56:09.924,564,5874.1,5972.8,/HD116852/RED_564/HD116852_w564_redu_20170423_O5.fits
HD122879,211.605023,-59.71599,2016-03-18T06:52:00.063,564,5817.6,5915.4,/HD122879/RED_564/HD122879_w564_redu_20160318_O4.fits
HD122879,211.605023,-59.71599,2016-03-18T06:52:00.063,564,5874.1,5972.8,/HD122879/RED_564/HD122879_w564_redu_20160318_O5.fits
HD124314,213.757359,-61.70738,2017-05-01T06:34:28.439,564,5817.6,5915.4,/HD124314/RED_564/HD124314_w564_redu_20170501_O4.fits
HD124314,213.757359,-61.70738,2017-05-01T06:34:28.439,564,5874.1,5972.8,/HD124314/RED_564/HD124314_w564_redu_20170501_O5.fits
HD133518,226.733919,-52.03023,2015-06-30T01:35:57.205,564,5817.7,5915.5,/HD133518/RED_564/HD133518_w564_redu_20150630_O4.fits
HD133518,226.733919,-52.03023,2015-06-30T01:35:57.205,564,5874.2,5972.9,/HD133518/RED_564/HD133518_w564_redu_20150630_O5.fits
HD135591,229.705393,-60.49642,2016-02-22T05:46:41.995,564,5817.6,5915.4,/HD135591/RED_564/HD135591_w564_redu_20160222_O4.fits
HD135591,229.705759,-60.49579,2015-06-28T04:48:08.183,564,5817.7,5915.4,/HD135591/RED_564/HD135591_w564_redu_20150628_O4.fits
HD135591,229.705759,-60.49579,2015-06-28T04:48:08.183,564,5874.2,5972.8,/HD135591/RED_564/HD135591_w564_redu_20150628_O5.fits
HD135591,229.705393,-60.49642,2016-02-22T05:46:41.995,564,5874.1,5972.8,/HD135591/RED_564/HD135591_w564_redu_20160222_O5.fits
HD143275,240.082946,-22.62206,2015-07-20T04:43:07.572,564,5817.7,5915.5,/HD143275/RED_564/HD143275_w564_redu_20150720_O4.fits
HD143275,240.082946,-22.62206,2015-07-20T04:43:07.572,564,5874.2,5972.9,/HD143275/RED_564/HD143275_w564_redu_20150720_O5.fits
HD144217,241.359037,-19.80574,2018-08-09T01:28:35.249,564,5817.6,5915.4,/HD144217/RED_564/HD144217_w564_redu_20180809_O4.fits
HD144217,241.359037,-19.80574,2018-08-09T01:28:35.249,564,5874.1,5972.8,/HD144217/RED_564/HD144217_w564_redu_20180809_O5.fits
HD144470,241.702294,-20.66901,2015-07-20T01:14:06.820,564,5817.7,5915.5,/HD144470/RED_564/HD144470_w564_redu_20150720_O4.fits
HD144470,241.702294,-20.66901,2015-07-20T01:14:06.820,564,5874.2,5972.9,/HD144470/RED_564/HD144470_w564_redu_20150720_O5.fits
HD145502,242.99907,-19.46063,2014-09-15T00:46:33.705,564,5817.7,5915.5,/HD145502/RED_564/HD145502_w564_redu_20140915_O4.fits
HD145502,242.999099,-19.46063,2014-09-16T00:56:26.625,564,5817.7,5915.5,/HD145502/RED_564/HD145502_w564_redu_20140916_O4.fits
HD145502,242.999099,-19.46063,2014-09-16T00:56:26.625,564,5874.3,5972.9,/HD145502/RED_564/HD145502_w564_redu_20140916_O5.fits
HD145502,242.99907,-19.46063,2014-09-15T00:46:33.705,564,5874.3,5972.9,/HD145502/RED_564/HD145502_w564_redu_20140915_O5.fits
HD147084,245.159273,-24.16978,2016-04-19T06:22:29.763,564,5817.6,5915.4,/HD147084/RED_564/HD147084_w564_redu_20160419_O4.fits
HD147084,245.159273,-24.16978,2016-04-19T06:22:29.763,564,5874.1,5972.8,/HD147084/RED_564/HD147084_w564_redu_20160419_O5.fits
HD147165,245.297006,-25.59315,2015-05-31T01:01:05.351,564,5817.7,5915.5,/HD147165/RED_564/HD147165_w564_redu_20150531_O4.fits
HD147165,245.297006,-25.59315,2015-05-31T01:01:05.351,564,5874.2,5972.9,/HD147165/RED_564/HD147165_w564_redu_20150531_O5.fits
HD147683,246.182189,-34.89345,2018-09-02T00:41:42.296,564,5817.6,5915.4,/HD147683/RED_564/HD147683_w564_redu_20180902_O4.fits
HD147683,246.182334,-34.89337,2018-06-03T01:12:22.774,564,5817.6,5915.4,/HD147683/RED_564/HD147683_w564_redu_20180603_O4.fits
HD147683,246.182068,-34.89429,2016-07-07T01:30:05.018,564,5817.6,5915.4,/HD147683/RED_564/HD147683_w564_redu_20160707_O4.fits
HD147683,246.182334,-34.89337,2018-06-03T01:12:22.774,564,5874.1,5972.8,/HD147683/RED_564/HD147683_w564_redu_20180603_O5.fits
HD147683,246.182189,-34.89345,2018-09-02T00:41:42.296,564,5874.1,5972.8,/HD147683/RED_564/HD147683_w564_redu_20180902_O5.fits
HD147683,246.182068,-34.89429,2016-07-07T01:30:05.018,564,5874.1,5972.8,/HD147683/RED_564/HD147683_w564_redu_20160707_O5.fits
HD147888,246.350946,-23.46078,2014-09-23T23:58:54.951,564,5817.7,5915.5,/HD147888/RED_564/HD147888_w564_redu_20140923_O4.fits
HD147888,246.35156,-23.46015,2016-08-08T02:47:02.579,564,5817.6,5915.4,/HD147888/RED_564/HD147888_w564_redu_20160808_O4.fits
HD147888,246.350946,-23.46078,2014-09-24T00:25:20.296,564,5817.7,5915.5,/HD147888/RED_564/HD147888_w564_redu_20140924_O4.fits
HD147888,246.35156,-23.46015,2016-08-08T02:47:02.579,564,5874.1,5972.8,/HD147888/RED_564/HD147888_w564_redu_20160808_O5.fits
HD147888,246.350946,-23.46078,2014-09-23T23:58:54.951,564,5874.3,5972.9,/HD147888/RED_564/HD147888_w564_redu_20140923_O5.fits
HD147888,246.350946,-23.46078,2014-09-24T00:25:20.296,564,5874.3,5972.9,/HD147888/RED_564/HD147888_w564_redu_20140924_O5.fits
HD147889,246.351279,-24.46584,2015-08-16T02:09:09.457,564,5817.7,5915.5,/HD147889/RED_564/HD147889_w564_redu_20150816_O4.fits
HD147889,246.351001,-24.46523,2014-09-27T23:59:08.460,564,5817.7,5915.5,/HD147889/RED_564/HD147889_w564_redu_20140927_O4.fits
HD147889,246.351001,-24.46523,2014-09-28T00:18:26.304,564,5817.7,5915.5,/HD147889/RED_564/HD147889_w564_redu_20140928_O4.fits
HD147889,246.351001,-24.46523,2014-09-28T00:18:26.304,564,5874.2,5972.9,/HD147889/RED_564/HD147889_w564_redu_20140928_O5.fits
HD147889,246.351001,-24.46523,2014-09-27T23:59:08.460,564,5874.2,5972.9,/HD147889/RED_564/HD147889_w564_redu_20140927_O5.fits
HD147889,246.351279,-24.46584,2015-08-16T02:09:09.457,564,5874.2,5972.9,/HD147889/RED_564/HD147889_w564_redu_20150816_O5.fits
HD147932,246.396229,-23.40594,2018-09-03T01:42:26.154,564,5817.6,5915.4,/HD147932/RED_564/HD147932_w564_redu_20180903_O4.fits
HD147932,246.396229,-23.40594,2018-09-03T01:42:26.154,564,5874.1,5972.8,/HD147932/RED_564/HD147932_w564_redu_20180903_O5.fits
HD147933,246.396195,-23.44745,2017-05-08T03:24:47.650,564,5817.6,5915.4,/HD147933/RED_564/HD147933_w564_redu_20170508_O4.fits
HD147933,246.396373,-23.44755,2017-06-15T23:42:02.038,564,5817.6,5915.4,/HD147933/RED_564/HD147933_w564_redu_20170615_O4.fits
HD147933,246.396373,-23.44755,2017-06-15T23:42:02.038,564,5874.1,5972.8,/HD147933/RED_564/HD147933_w564_redu_20170615_O5.fits
HD147933,246.396195,-23.44745,2017-05-08T03:24:47.650,564,5874.1,5972.8,/HD147933/RED_564/HD147933_w564_redu_20170508_O5.fits
HD148184,246.756483,-18.45647,2018-06-23T06:37:28.244,564,5817.6,5915.4,/HD148184/RED_564/HD148184_w564_redu_20180623_O4.fits
HD148184,246.756483,-18.45647,2018-06-23T06:37:28.244,564,5874.1,5972.8,/HD148184/RED_564/HD148184_w564_redu_20180623_O5.fits
HD148605,247.552133,-25.11556,2014-09-15T01:09:47.018,564,5817.7,5915.5,/HD148605/RED_564/HD148605_w564_redu_20140915_O4.fits
HD148605,247.552392,-25.11599,2014-09-14T01:32:35.857,564,5817.7,5915.5,/HD148605/RED_564/HD148605_w564_redu_20140914_O4.fits
HD148605,247.552146,-25.11551,2014-09-16T01:30:28.056,564,5817.7,5915.5,/HD148605/RED_564/HD148605_w564_redu_20140916_O4.fits
HD148605,247.552392,-25.11599,2014-09-14T01:32:35.857,564,5874.3,5972.9,/HD148605/RED_564/HD148605_w564_redu_20140914_O5.fits
HD148605,247.552133,-25.11556,2014-09-15T01:09:47.018,564,5874.3,5972.9,/HD148605/RED_564/HD148605_w564_redu_20140915_O5.fits
HD148605,247.552146,-25.11551,2014-09-16T01:30:28.056,564,5874.3,5972.9,/HD148605/RED_564/HD148605_w564_redu_20140916_O5.fits
HD148937,248.468558,-48.11198,2015-08-17T01:53:21.218,564,5817.7,5915.5,/HD148937/RED_564/HD148937_w564_redu_20150817_O4.fits
HD148937,248.468136,-48.11207,2017-04-24T06:06:53.818,564,5817.6,5915.4,/HD148937/RED_564/HD148937_w564_redu_20170424_O4.fits
HD148937,248.468136,-48.11207,2017-04-24T06:06:53.818,564,5874.1,5972.8,/HD148937/RED_564/HD148937_w564_redu_20170424_O5.fits
HD148937,248.468558,-48.11198,2015-08-17T01:53:21.218,564,5874.2,5972.9,/HD148937/RED_564/HD148937_w564_redu_20150817_O5.fits
HD149038,248.521941,-44.04549,2015-06-28T05:55:04.908,564,5817.7,5915.4,/HD149038/RED_564/HD149038_w564_redu_20150628_O4.fits
HD149038,248.521457,-44.0453,2016-02-22T08:05:14.848,564,5817.6,5915.4,/HD149038/RED_564/HD149038_w564_redu_20160222_O4.fits
HD149038,248.521941,-44.04549,2015-06-28T05:55:04.908,564,5874.2,5972.8,/HD149038/RED_564/HD149038_w564_redu_20150628_O5.fits
HD149038,248.521457,-44.0453,2016-02-22T08:05:14.848,564,5874.1,5972.8,/HD149038/RED_564/HD149038_w564_redu_20160222_O5.fits
