Object,RA,DEC,DateObs,setting,WaveMin,WaveMax,Filename
HD169454,276.313251,-13.97855,2016-08-08T03:30:38.511,860,7564.3,7689.9,/HD169454/RED_860/HD169454_w860_redl_20160808_O12.fits
HD169454,276.313492,-13.97882,2016-07-28T04:55:24.265,860,7564.3,7689.9,/HD169454/RED_860/HD169454_w860_redl_20160728_O12.fits
HD170740,277.85713,-10.79621,2014-09-15T02:52:05.917,860,7564.1,7689.8,/HD170740/RED_860/HD170740_w860_redl_20140915_O12.fits
HD170740,277.857043,-10.79612,2016-06-13T07:38:37.035,860,7564.3,7689.9,/HD170740/RED_860/HD170740_w860_redl_20160613_O12.fits
HD170740,277.857095,-10.79619,2014-09-16T03:27:53.993,860,7564.1,7689.8,/HD170740/RED_860/HD170740_w860_redl_20140916_O12.fits
HD170740,277.857237,-10.79626,2015-06-26T02:17:55.599,860,7564.3,7689.9,/HD170740/RED_860/HD170740_w860_redl_20150626_O12.fits
HD170740,277.857318,-10.79618,2017-07-05T02:41:15.083,860,7564.3,7689.9,/HD170740/RED_860/HD170740_w860_redl_20170705_O12.fits
HD151804,252.891374,-41.23116,2017-05-07T02:53:03.265,860,7564.3,7689.9,/HD151804/RED_860/HD151804_w860_redl_20170507_O12.fits
HD 151804,252.889719,-41.23018,2015-07-20T04:09:01.149,860,7564.3,7689.9,/HD151804/RED_860/HD151804_w860_redl_20150720_O12.fits
HD 151804,252.891355,-41.23113,2016-03-23T09:08:32.757,860,7564.3,7689.9,/HD151804/RED_860/HD151804_w860_redl_20160323_O12.fits
HD23180,56.079968,32.28826,2016-09-14T08:15:54.146,860,7564.3,7689.9,/HD23180/RED_860/HD23180_w860_redl_20160914_O12.fits
HD23180,56.079743,32.2884,2017-10-02T08:45:19.165,860,7564.3,7689.9,/HD23180/RED_860/HD23180_w860_redl_20171002_O12.fits
HD23180,56.079653,32.28843,2014-10-29T07:09:23.419,860,7564.1,7689.8,/HD23180/RED_860/HD23180_w860_redl_20141029_O12.fits
HD54239,104.139722,-79.42033,2017-04-18T00:48:37.329,860,7564.3,7689.9,/HD54239/RED_860/HD54239_w860_redl_20170418_O12.fits
HD122879,211.60494,-59.71627,2016-03-18T07:59:13.233,860,7564.3,7689.9,/HD122879/RED_860/HD122879_w860_redl_20160318_O12.fits
HD 112272,194.140575,-64.36148,2017-05-01T01:47:11.796,860,7564.3,7689.9,/HD112272/RED_860/HD112272_w860_redl_20170501_O12.fits
HD37020,83.816035,-5.38733,2018-01-19T01:15:57.641,860,7564.3,7689.9,/HD37020/RED_860/HD37020_w860_redl_20180119_O12.fits
HD37020,83.815822,-5.38743,2018-02-12T02:18:51.646,860,7564.3,7689.9,/HD37020/RED_860/HD37020_w860_redl_20180212_O12.fits
HD179406,288.169751,-7.94024,2018-07-15T01:58:37.477,860,7564.3,7689.9,/HD179406/RED_860/HD179406_w860_redl_20180715_O12.fits
HD23016,55.579038,19.70033,2014-09-23T07:58:32.048,860,7564.1,7689.8,/HD23016/RED_860/HD23016_w860_redl_20140923_O12.fits
HD57061,109.677182,-24.95436,2014-10-10T09:04:51.245,860,7564.1,7689.8,/HD57061/RED_860/HD57061_w860_redl_20141010_O12.fits
HD54439,107.096667,-11.85255,2018-02-13T05:28:24.929,860,7564.3,7689.9,/HD54439/RED_860/HD54439_w860_redl_20180213_O12.fits
HD22951,55.594159,33.96503,2016-08-29T09:37:29.112,860,7564.3,7690,/HD22951/RED_860/HD22951_w860_redl_20160829_O12.fits
HD154368,256.618585,-35.45121,2018-06-29T06:25:57.502,860,7564.3,7689.9,/HD154368/RED_860/HD154368_w860_redl_20180629_O12.fits
HD154368,256.618604,-35.45111,2018-06-30T02:30:02.982,860,7564.3,7689.9,/HD154368/RED_860/HD154368_w860_redl_20180630_O12.fits
HD157978,261.579437,7.596,2016-06-16T04:13:20.807,860,7564.3,7689.9,/HD157978/RED_860/HD157978_w860_redl_20160616_O12.fits
HD91824,158.694437,-58.1562,2015-02-21T05:41:05.578,860,7564.1,7689.9,/HD91824/RED_860/HD91824_w860_redl_20150221_O12.fits
HD147165,245.297021,-25.59317,2015-05-31T01:42:59.802,860,7564.3,7689.9,/HD147165/RED_860/HD147165_w860_redl_20150531_O12.fits
HD149757,249.290027,-10.56731,2018-07-22T05:00:56.505,860,7564.3,7689.9,/HD149757/RED_860/HD149757_w860_redl_20180722_O12.fits
HD149757,249.28999,-10.56735,2015-07-20T02:58:30.400,860,7564.3,7689.9,/HD149757/RED_860/HD149757_w860_redl_20150720_O12.fits
HD149757,249.289933,-10.56727,2018-07-31T03:07:32.402,860,7564.3,7689.9,/HD149757/RED_860/HD149757_w860_redl_20180731_O12.fits
HD49787,102.481444,-5.51343,2018-02-13T05:06:44.840,860,7564.3,7689.9,/HD49787/RED_860/HD49787_w860_redl_20180213_O12.fits
HD  43384,94.244533,23.74088,2015-10-01T08:16:13.947,860,7564.3,7689.9,/HD43384/RED_860/HD43384_w860_redl_20151001_O12.fits
HD 75860,132.721849,-43.75168,2017-04-30T01:19:54.336,860,7564.3,7689.9,/HD75860/RED_860/HD75860_w860_redl_20170430_O12.fits
HD167838,274.407078,-15.43075,2018-09-02T02:07:33.861,860,7564.3,7689.9,/HD167838/RED_860/HD167838_w860_redl_20180902_O12.fits
HD167838,274.407355,-15.4313,2016-08-25T03:40:42.447,860,7564.3,7689.9,/HD167838/RED_860/HD167838_w860_redl_20160825_O12.fits
HD104705,180.84965,-62.69638,2016-03-29T08:23:41.007,860,7564.3,7689.9,/HD104705/RED_860/HD104705_w860_redl_20160329_O12.fits
HD23466,56.418421,6.05,2018-07-31T09:18:16.972,860,7564.3,7689.9,/HD23466/RED_860/HD23466_w860_redl_20180731_O12.fits
